Issues,McCain,Obama,Bush,Carson,Chafee,Christie,Clinton,Cruz,Fiorina,Graham,Huckabee,Jindal,Kasich,Oâ€™Malley,Pataki,Paul,Perry,Rubio,Sanders,Santorum,Trump,Walker,Webb
Economy,5669,6767,,,101,1852,2103,,,797,278,,,4187,,1512,124,2102,774,506,,,720
Education,1945,8983,,150,,1670,,,,140,174,,,1184,,224,,496,,257,,,
Energy,1997,4639,,,,,,,,353,148,,,,,147,,,,,,,
Foreign Policy,3025,10922,,227,87,1327,1169,,,1595,262,,,,,274,46,5810,,153,,,485
Health Care,1388,6839,,104,,1718,,,,136,164,,,192,,159,,863,,,,,
Iraq,1433,1395,,,,,,,,,,,,,,,,,,,,,
Technology,4518,5320,,,,,,,,,,,,,,,,665,,,,,
Social Issues,,,,381,,,554,,,625,281,,,649,,1212,,495,296,390,,,220
Environment,,,,,102,,,,,,,,,1300,,,,,200,,,,
Biography,494,926,1790,712,463,107,997,415,790,473,472,743,538,553,483,478,352,683,286,730,728,524,692